Date,SP500,VIX,ret
2012-01-03,1277.06005859375,22.97,1.535548367017725
2012-01-04,1277.300048828125,22.22,0.018790634443721643
2012-01-05,1281.06005859375,21.48,0.29393926694947226
2012-01-06,1277.81005859375,20.63,-0.25401850025392747
2012-01-09,1280.699951171875,21.07,0.22590443626082646
2012-01-10,1292.0799560546875,20.69,0.8846523613060597
2012-01-11,1292.47998046875,21.05,0.030954934463256478
2012-01-12,1295.5,20.47,0.23338827385686045
2012-01-13,1289.0899658203125,20.91,-0.4960204447868932
2012-01-17,1293.6700439453125,22.2,0.35466577681741995
2012-01-18,1308.0400390625,20.89,1.1046689130221665
2012-01-19,1314.5,19.87,0.49265017172448466
2012-01-20,1315.3800048828125,18.28,0.06692357932855941
2012-01-23,1316.0,18.67,0.047123192204079345
2012-01-24,1314.6500244140625,18.91,-0.10263438252238188
2012-01-25,1326.06005859375,18.31,0.8641694717195669
2012-01-26,1318.4300537109375,18.57,-0.577050828798864
2012-01-27,1316.3299560546875,18.53,-0.15941475452905252
2012-01-30,1313.010009765625,19.4,-0.25253090863452954
2012-01-31,1312.4100341796875,19.44,-0.04570511280785894
2012-02-01,1324.0899658203125,18.55,0.8860237474266341
2012-02-02,1325.5400390625,17.98,0.1094547830667203
2012-02-03,1344.9000244140625,17.1,1.4499725948107667
2012-02-06,1344.3299560546875,17.76,-0.04239640135317302
2012-02-07,1347.050048828125,17.65,0.20213375254707344
2012-02-08,1349.9599609375,18.16,0.21578809333249183
2012-02-09,1351.949951171875,18.63,0.14730251258781024
2012-02-10,1342.6400146484375,20.79,-0.6910122643615679
2012-02-13,1351.77001953125,19.04,0.6777023326496767
2012-02-14,1350.5,19.54,-0.09399650039254581
2012-02-15,1343.22998046875,21.14,-0.5397747536216357
2012-02-16,1358.0400390625,19.22,1.096536583327623
2012-02-17,1361.22998046875,17.78,0.23461758829403934
2012-02-21,1362.2099609375,18.19,0.0719663757696054
2012-02-22,1357.6600341796875,18.19,-0.33456974121452987
2012-02-23,1363.4599609375,16.8,0.4262903180605626
2012-02-24,1365.739990234375,17.31,0.16708411755086416
2012-02-27,1367.5899658203125,18.19,0.13536425518791972
2012-02-28,1372.1800537109375,17.96,0.3350713492315194
2012-02-29,1365.6800537109375,18.43,-0.47482427569534025
2012-03-01,1374.0899658203125,17.26,0.6139156544533009
2012-03-02,1369.6300048828125,17.29,-0.32510350278585065
2012-03-05,1364.3299560546875,18.05,-0.3877200502821587
2012-03-06,1343.3599853515625,20.87,-1.5489506127543962
2012-03-07,1352.6300048828125,19.07,0.6876921722994034
2012-03-08,1365.9100341796875,17.95,0.9770049174722573
2012-03-09,1370.8699951171875,17.11,0.36246730207318834
2012-03-12,1371.0899658203125,15.64,0.01604477867873655
2012-03-13,1395.949951171875,14.8,1.7969133090434575
2012-03-14,1394.280029296875,15.31,-0.11969780885960901
2012-03-15,1402.5999755859375,15.42,0.5949465701560186
2012-03-16,1404.1700439453125,14.47,0.1118772476700336
2012-03-19,1409.75,15.04,0.3965971514070965
2012-03-20,1405.52001953125,15.58,-0.3005028734389903
2012-03-21,1402.8900146484375,15.13,-0.18729499037748454
2012-03-22,1392.780029296875,15.57,-0.7232634226897794
2012-03-23,1397.1099853515625,14.82,0.31040360075564877
2012-03-26,1416.510009765625,14.26,1.3790299964088426
2012-03-27,1412.52001953125,15.59,-0.2820749754246066
2012-03-28,1405.5400390625,15.47,-0.4953758683289067
2012-03-29,1403.280029296875,15.48,-0.16092239433875832
2012-03-30,1408.469970703125,15.5,0.36916136216209594
2012-04-02,1419.0400390625,15.64,0.7476626120983099
2012-04-03,1413.3800048828125,15.66,-0.3996611820141993
2012-04-04,1398.9599609375,16.44,-1.0254926852537594
2012-04-05,1398.0799560546875,16.7,-0.06292401524214952
2012-04-09,1382.199951171875,18.81,-1.1423437999542152
2012-04-10,1358.5899658203125,20.39,-1.722902527718606
2012-04-11,1368.7099609375,20.02,0.7421289800123354
2012-04-12,1387.5699462890625,17.2,1.3685315235976603
2012-04-13,1370.260009765625,19.55,-1.255346712505645
2012-04-16,1369.5699462890625,19.55,-0.0503727240173113
2012-04-17,1390.780029296875,18.46,1.5367979157954181
2012-04-18,1385.1400146484375,18.64,-0.4063533761746285
2012-04-19,1376.9200439453125,18.36,-0.5952075477202001
2012-04-20,1378.530029296875,17.44,0.11685826213376771
2012-04-23,1366.93994140625,18.97,-0.84431131028877
2012-04-24,1371.969970703125,18.1,0.3673019641628805
2012-04-25,1390.68994140625,16.82,1.3552342898741188
2012-04-26,1399.97998046875,16.24,0.6657952133507727
2012-04-27,1403.3599853515625,16.32,0.24114139290238867
2012-04-30,1397.9100341796875,17.15,-0.3891062275370061
2012-05-01,1405.8199462890625,16.6,0.5642435719684258
2012-05-02,1402.31005859375,16.88,-0.24998055766589644
2012-05-03,1391.5699462890625,17.56,-0.7688351103507074
2012-05-04,1369.0999755859375,19.16,-1.6278995721589418
2012-05-07,1369.5799560546875,18.94,0.035051958289678
2012-05-08,1363.719970703125,19.05,-0.42878531349686
2012-05-09,1354.5799560546875,20.08,-0.6724827531781941
2012-05-10,1357.989990234375,18.83,0.25142474063848397
2012-05-11,1353.3900146484375,19.89,-0.33930913342814506
2012-05-14,1338.3499755859375,21.87,-1.1175073102339006
2012-05-15,1330.6600341796875,21.97,-0.5762408276502207
2012-05-16,1324.800048828125,22.27,-0.4413543928947661
2012-05-17,1304.8599853515625,24.49,-1.5165797405604309
2012-05-18,1295.219970703125,25.1,-0.7415201826755258
2012-05-21,1315.989990234375,22.01,1.5908684395839146
2012-05-22,1316.6300048828125,22.48,0.04862187951424346
2012-05-23,1318.8599853515625,22.33,0.16922705145487882
2012-05-24,1320.6800537109375,21.54,0.13790801585873425
2012-05-25,1317.8199462890625,21.76,-0.21679807027599196
2012-05-29,1332.4200439453125,21.03,1.101805527882771
2012-05-30,1313.3199462890625,24.14,-1.443862930479689
2012-05-31,1310.3299560546875,24.06,-0.22792610600435026
2012-06-01,1278.0400390625,26.66,-2.495129541436114
2012-06-04,1278.1800537109375,26.12,0.010954819498731894
2012-06-05,1285.5,24.68,0.5710514594359672
2012-06-06,1315.1300048828125,22.16,2.278777604804816
2012-06-07,1314.989990234375,21.72,-0.010647016016740452
2012-06-08,1325.6600341796875,21.23,0.8081420799989303
2012-06-11,1308.9300537109375,23.56,-1.2700423815401152
2012-06-12,1324.1800537109375,22.09,1.1583389901240082
2012-06-13,1314.8800048828125,24.27,-0.7048030071103994
2012-06-14,1329.0999755859375,21.68,1.075659264986939
2012-06-15,1342.8399658203125,21.11,1.0284745652146654
2012-06-18,1344.780029296875,18.32,0.14437039589356715
2012-06-19,1357.97998046875,18.38,0.976783441761242
2012-06-20,1355.68994140625,17.24,-0.16877805127712975
2012-06-21,1325.510009765625,20.08,-2.251320818337632
2012-06-22,1335.02001953125,18.11,0.7148989234504022
2012-06-25,1313.719970703125,20.38,-1.6083502390602966
2012-06-26,1319.989990234375,19.72,0.4761368161021018
2012-06-27,1331.8499755859375,19.45,0.894478141961752
2012-06-28,1329.0400390625,19.71,-0.21120283457669586
2012-06-29,1362.1600341796875,17.08,2.461479373492015
2012-07-02,1365.510009765625,16.8,0.24562921587065745
2012-07-03,1374.02001953125,16.66,0.6212771568424813
2012-07-05,1367.5799560546875,17.5,-0.4698041566321365
2012-07-06,1354.6800537109375,17.1,-0.9477418655581715
2012-07-09,1352.4599609375,17.98,-0.16401761705182594
2012-07-10,1341.469970703125,18.72,-0.8159121789590884
2012-07-11,1341.449951171875,17.95,-0.001492368899036478
2012-07-12,1334.760009765625,18.33,-0.4999574352459568
2012-07-13,1356.780029296875,16.74,1.6362759247573244
2012-07-16,1353.6400146484375,17.11,-0.2316995891620266
2012-07-17,1363.6700439453125,16.48,0.7382355809911978
2012-07-18,1372.780029296875,16.16,0.6658275330084784
2012-07-19,1376.510009765625,15.45,0.27134152485110974
2012-07-20,1362.6600341796875,16.27,-1.0112620534168393
2012-07-23,1350.52001953125,18.62,-0.8948979003707613
2012-07-24,1338.31005859375,20.47,-0.9082050192423807
2012-07-25,1337.8900146484375,19.34,-0.031391072211839344
2012-07-26,1360.02001953125,17.53,1.6405662864951154
2012-07-27,1385.969970703125,16.7,1.8900814490450557
2012-07-30,1385.300048828125,18.03,-0.048347644461088635
2012-07-31,1379.3199462890625,18.93,-0.4326172766219827
2012-08-01,1375.3199462890625,18.96,-0.29041929017452617
2012-08-02,1365.0,17.57,-0.7531963624136218
2012-08-03,1390.989990234375,15.64,1.8861288185302527
2012-08-06,1394.22998046875,15.95,0.23265607240574582
2012-08-07,1401.3499755859375,15.99,0.50937627425931
2012-08-08,1402.219970703125,15.32,0.06206338074532525
2012-08-09,1402.800048828125,15.28,0.04135999951726532
2012-08-10,1405.8699951171875,14.74,0.21860506671051994
2012-08-13,1404.1099853515625,13.7,-0.12526850781942045
2012-08-14,1403.9300537109375,14.85,-0.012815461202020373
2012-08-15,1405.530029296875,14.63,0.113899162944886
2012-08-16,1415.510009765625,14.29,0.7075420387505638
2012-08-17,1418.1600341796875,13.45,0.18703837394768996
2012-08-20,1418.1300048828125,14.02,-0.002117505365362149
2012-08-21,1413.1700439453125,15.02,-0.35036668144439176
2012-08-22,1413.489990234375,15.11,0.022637762345656398
2012-08-23,1402.0799560546875,15.96,-0.8104999597722262
2012-08-24,1411.1300048828125,15.18,0.643398834326181
2012-08-27,1410.43994140625,16.35,-0.04891344205226744
2012-08-28,1409.300048828125,16.49,-0.08085090427956132
2012-08-29,1410.489990234375,17.06,0.08439929642989341
2012-08-30,1399.47998046875,17.83,-0.7836429729673355
2012-08-31,1406.5799560546875,17.47,0.5060469767645515
2012-09-04,1404.93994140625,17.98,-0.11666393226885674
2012-09-05,1403.43994140625,17.74,-0.10682316532886205
2012-09-06,1432.1199951171875,15.6,2.022953661200688
2012-09-07,1437.9200439453125,14.38,0.40417949889430815
2012-09-10,1429.0799560546875,16.28,-0.6166805654652663
2012-09-11,1433.56005859375,16.41,0.3130052101452563
2012-09-12,1436.56005859375,15.8,0.2090505602597048
2012-09-13,1459.989990234375,14.05,1.6178172153844095
2012-09-14,1465.77001953125,14.51,0.3951135292808772
2012-09-17,1461.18994140625,14.59,-0.3129582860266211
2012-09-18,1459.3199462890625,14.18,-0.12805951321173126
2012-09-19,1461.050048828125,13.88,0.11848517443748818
2012-09-20,1460.260009765625,14.07,-0.054087999282170784
2012-09-21,1460.1500244140625,13.98,-0.007532185571701433
2012-09-24,1456.8900146484375,14.15,-0.22351500693797988
2012-09-25,1441.5899658203125,15.43,-1.0557389418567986
2012-09-26,1433.3199462890625,16.81,-0.5753253211740805
2012-09-27,1447.1500244140625,14.84,0.9602727708234227
2012-09-28,1440.6700439453125,15.73,-0.4487808236766533
2012-10-01,1444.489990234375,16.32,0.264799766799495
2012-10-02,1445.75,15.71,0.0871906727265781
2012-10-03,1450.989990234375,15.43,0.3617857293033211
2012-10-04,1461.4000244140625,14.55,0.714882173169773
2012-10-05,1460.9300537109375,14.33,-0.03216410840751749
2012-10-08,1455.8800048828125,15.11,-0.3462723847428961
2012-10-09,1441.47998046875,16.37,-0.9940182135141917
2012-10-10,1432.56005859375,16.29,-0.6207255566481606
2012-10-11,1432.8399658203125,15.59,0.01953704369848097
2012-10-12,1428.5899658203125,16.14,-0.2970544956016674
2012-10-15,1440.1300048828125,15.27,0.804547075266715
2012-10-16,1454.9200439453125,15.22,1.0217555817170876
2012-10-17,1460.9100341796875,15.07,0.4108606125954317
2012-10-18,1457.3399658203125,15.03,-0.24467198768949316
2012-10-19,1433.18994140625,17.06,-1.6710144600035726
2012-10-22,1433.8199462890625,16.62,0.043948567855078835
2012-10-23,1413.1099853515625,18.83,-1.454923497073768
2012-10-24,1408.75,18.33,-0.30901524835877936
2012-10-25,1412.969970703125,18.12,0.29910649483948504
2012-10-26,1411.93994140625,17.81,-0.07292475686444533
2012-10-31,1412.1600341796875,18.6,0.015586755128005336
2012-11-01,1427.5899658203125,16.69,1.0867212600985887
2012-11-02,1414.199951171875,17.59,-0.9423718242891788
